,ClusterNo2,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
46,1,2013-12-17 00:00:00,105.03999995000001,81.78850005000001,0.0,61.56299995,120.2435,0.0,52.739,297.09449950000004,404.4185,367.0954965000001,390.300995,393.22399950000005,314.293999,273.58000000000004,277.654,298.95599999999996,153.925,2.642,95.50649999999999,119.42700000000002,0.0,143.06999994999998,7.497000000000001,0.0
47,1,2013-12-19 00:00:00,82.022,0.0,0.0,126.57649985,37.15599999999999,0.0,64.26099995000001,260.65750049999997,298.4810015,247.299,230.3615,251.313,283.606,315.3165,283.56050000000005,278.953,198.34799994999997,179.858,15.9175,0.0,143.6264999,49.0785,0.0,74.78250015
48,1,2013-12-20 00:00:00,111.43599995,0.0,0.0,184.302,0.0,0.0,127.1235,242.5409975,394.00999950000005,339.09250000000003,303.80850000000004,311.2845,313.525,318.568,313.1505,301.94449999999995,219.465,188.063,7.478,0.0,141.65349995,42.999500049999995,0.0,20.2590001
49,1,2013-12-23 00:00:00,90.45050049999999,89.14099964999998,88.91200035,88.7150002,88.11700139999999,87.9159996,101.5754999,253.75449899999998,388.670499,318.34000000000003,319.21799999999996,319.2415,321.324,320.63,318.19,320.351,219.8535,138.3195,0.0,50.88750000000001,174.4305,0.0,0.0,183.2295
50,1,2013-12-24 00:00:00,0.0,0.0,106.78199985,67.37249999999999,0.0,18.8755,171.87,172.23950149999996,371.007,328.533998,292.14750000000004,285.2265,250.789,274.44050000000004,238.4875,236.051,117.8975,78.76149990000002,100.36100000000002,0.0,0.0,173.80049989999998,0.0,0.0
51,1,2013-12-26 00:00:00,82.59200005,96.958,0.0,5.6739999999999995,178.98550005,0.0,0.0,289.51649999999995,388.5215005,340.52499950000004,304.038,315.13050000000004,296.672,274.907,255.05100000000002,290.07750000000004,215.725499955,184.0595,142.99099999999999,18.938,138.17599985000004,0.0,0.0,133.92449985
52,1,2013-12-27 00:00:00,45.943,0.0,49.621,128.5945,0.0,0.0,168.638,216.87549950000002,401.6119985,356.2329985,312.958,309.89950000000005,279.80000000000007,274.0955,268.2335,263.1855,128.922,0.0,163.56649994999998,38.8785,0.0,81.71699995,98.702,0.0
53,1,2013-12-30 00:00:00,22.169,0.0,50.727500049999996,124.16150015000001,0.0,0.0,147.9975,219.3885,375.87100250000003,373.81149750000003,373.49450099999996,369.48949799999997,340.06650099999996,273.202,265.42100000000005,262.43,133.6155,125.66949985000001,96.66550000000001,0.0,70.76299999999999,154.55199994999998,0.0,0.0
54,1,2013-12-31 00:00:00,165.17199995000001,14.880999999999998,0.0,106.9780001,74.6155,0.0,71.95849989999999,282.9630015,393.2115015,360.40550149999996,313.104,318.28299999999996,321.076,321.1095,306.605,215.56600000000003,167.16049985,121.6,0.0,19.481999950000002,160.843,0.0,0.0,149.7975
55,1,2014-01-02 00:00:00,0.0,132.7125001,49.026,0.0,62.1955,125.828,0.0,229.56749789999998,431.9454999999999,363.8725040000001,354.95149950000007,327.2410005,288.6965,277.24350000000004,279.943,268.5665,158.79850000000002,0.0,50.735000050000004,133.8585,0.0,30.03200005,149.355,0.0
